epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,302.921,1.02259,0.75622,1.0772,0.79641,0.63844,0.74371,0.40892,1.61172,1.27064,1.43858,3.43611e-05,3.43611e-05,3.43611e-05
40,310.478,1.02414,0.76138,1.08573,0.78129,0.64,0.71816,0.39246,1.67366,1.29627,1.47717,3.36338e-05,3.36338e-05,3.36338e-05
41,318.27,1.00762,0.76185,1.07485,0.72617,0.69381,0.72145,0.40737,1.59245,1.21036,1.43713,3.28982e-05,3.28982e-05,3.28982e-05
42,326.14,1.02794,0.7682,1.08296,0.76798,0.6469,0.729,0.38881,1.66911,1.24456,1.4765,3.2155e-05,3.2155e-05,3.2155e-05
43,333.847,1.03091,0.75804,1.07801,0.74245,0.66669,0.73157,0.39537,1.64062,1.27009,1.44832,3.14051e-05,3.14051e-05,3.14051e-05
44,341.626,1.01169,0.75374,1.07539,0.77341,0.63192,0.73422,0.39251,1.69049,1.30713,1.48505,3.0649e-05,3.0649e-05,3.0649e-05
45,349.316,1.011,0.72772,1.08316,0.77298,0.64495,0.72391,0.3873,1.6349,1.33577,1.44591,2.98877e-05,2.98877e-05,2.98877e-05
46,357.08,1.00907,0.7454,1.06796,0.76876,0.6645,0.73034,0.403,1.59883,1.2677,1.42883,2.91218e-05,2.91218e-05,2.91218e-05
47,364.907,1.01117,0.74472,1.07079,0.77602,0.67101,0.73153,0.39051,1.68449,1.29079,1.49581,2.8352e-05,2.8352e-05,2.8352e-05
48,372.618,0.98531,0.72561,1.06134,0.7679,0.71661,0.75414,0.41053,1.64945,1.22852,1.47616,2.75792e-05,2.75792e-05,2.75792e-05
49,380.345,0.99551,0.72995,1.06578,0.78168,0.70033,0.75525,0.40618,1.67671,1.23757,1.50754,2.68041e-05,2.68041e-05,2.68041e-05
50,388.033,1.01267,0.73074,1.06646,0.77054,0.6891,0.758,0.4144,1.63712,1.23796,1.47658,2.60274e-05,2.60274e-05,2.60274e-05
51,400.805,0.91072,0.60953,0.99059,0.78399,0.62541,0.72046,0.38307,1.64517,1.42897,1.46368,2.525e-05,2.525e-05,2.525e-05
52,408.597,0.92056,0.58666,0.99731,0.79569,0.66124,0.73826,0.40478,1.64154,1.32268,1.46156,2.44726e-05,2.44726e-05,2.44726e-05
53,416.324,0.89151,0.56643,0.9827,0.80989,0.6661,0.74943,0.4133,1.63523,1.29235,1.46524,2.36959e-05,2.36959e-05,2.36959e-05
54,423.971,0.89754,0.56544,0.98637,0.80515,0.6326,0.73792,0.39935,1.63038,1.30528,1.44997,2.29208e-05,2.29208e-05,2.29208e-05
55,431.617,0.88169,0.55266,0.97405,0.80617,0.66382,0.75362,0.41563,1.61381,1.21816,1.46068,2.2148e-05,2.2148e-05,2.2148e-05
56,439.32,0.89422,0.55656,0.97771,0.77271,0.66443,0.74027,0.41055,1.64615,1.245,1.48628,2.13782e-05,2.13782e-05,2.13782e-05
57,446.91,0.86522,0.54532,0.96474,0.77914,0.67796,0.74034,0.41356,1.62407,1.25142,1.48867,2.06123e-05,2.06123e-05,2.06123e-05
58,454.379,0.87832,0.53645,0.97325,0.78519,0.67427,0.75553,0.40753,1.63265,1.22515,1.46804,1.9851e-05,1.9851e-05,1.9851e-05
59,461.892,0.87595,0.53461,0.97164,0.76202,0.70033,0.74723,0.40307,1.63955,1.22252,1.48811,1.90949e-05,1.90949e-05,1.90949e-05
60,469.528,0.86974,0.52948,0.97006,0.79299,0.70033,0.76527,0.39999,1.67037,1.22629,1.4939,1.8345e-05,1.8345e-05,1.8345e-05
61,477.186,0.86211,0.53622,0.96335,0.7942,0.66775,0.75564,0.39647,1.67264,1.26185,1.49022,1.76018e-05,1.76018e-05,1.76018e-05
62,484.627,0.84853,0.51648,0.96002,0.84685,0.59935,0.73216,0.38206,1.70697,1.32133,1.51594,1.68662e-05,1.68662e-05,1.68662e-05
63,492.314,0.84994,0.51464,0.95541,0.72883,0.6873,0.73716,0.38596,1.69038,1.31066,1.50845,1.61389e-05,1.61389e-05,1.61389e-05
64,499.876,0.85844,0.52242,0.96306,0.79229,0.66124,0.75221,0.40387,1.66368,1.21367,1.52044,1.54206e-05,1.54206e-05,1.54206e-05
65,507.401,0.85776,0.52011,0.96369,0.83059,0.68672,0.76434,0.41009,1.64038,1.25536,1.51053,1.4712e-05,1.4712e-05,1.4712e-05
66,515.183,0.84945,0.51736,0.96118,0.76277,0.69381,0.74884,0.40257,1.65083,1.25922,1.50536,1.40137e-05,1.40137e-05,1.40137e-05
67,522.728,0.85353,0.51228,0.95895,0.80824,0.67274,0.75231,0.41032,1.63808,1.24919,1.48896,1.33266e-05,1.33266e-05,1.33266e-05
68,530.445,0.84711,0.51576,0.95149,0.83938,0.63518,0.74148,0.4097,1.64326,1.31287,1.47686,1.26512e-05,1.26512e-05,1.26512e-05
69,538.193,0.84216,0.51061,0.9492,0.81612,0.66502,0.74829,0.40455,1.67623,1.27497,1.51649,1.19883e-05,1.19883e-05,1.19883e-05
70,545.771,0.85312,0.5104,0.95771,0.77348,0.68078,0.75213,0.40262,1.68562,1.27066,1.51658,1.13384e-05,1.13384e-05,1.13384e-05
71,553.385,0.8442,0.5081,0.95571,0.81358,0.65472,0.75179,0.4033,1.67672,1.25651,1.5103,1.07023e-05,1.07023e-05,1.07023e-05
72,560.892,0.83638,0.50923,0.95723,0.80122,0.6302,0.74579,0.40322,1.66013,1.26562,1.50318,1.00806e-05,1.00806e-05,1.00806e-05
73,568.45,0.83207,0.50524,0.94956,0.82096,0.64223,0.75296,0.4062,1.67347,1.25885,1.51697,9.47376e-06,9.47376e-06,9.47376e-06
74,576.038,0.83746,0.49562,0.95418,0.81475,0.65798,0.76173,0.40825,1.66698,1.26819,1.51113,8.88253e-06,8.88253e-06,8.88253e-06
75,583.52,0.83494,0.50004,0.95547,0.81192,0.66088,0.75032,0.40042,1.62936,1.24214,1.48708,8.30746e-06,8.30746e-06,8.30746e-06
